subject,course_code,type,course_title,weekdays,time,instructors,location
SCSD,680,Lecture,Deglutition and Dysphagia.,M,09:05 am-12:10 pm,"Gina Mills , Geneviève Beauregard-Paultre",TBA
SCSD,680,Lecture,Deglutition and Dysphagia.,W,09:05 am-12:10 pm,"Gina Mills , Geneviève Beauregard-Paultre",TBA
SCSD,682,Seminar,Practicum and Seminar 2.,F,10:00 am-11:55 am,Sophie Vaillancourt,TBA
SCSD,682,Seminar,Practicum and Seminar 2.,R,10:00 am-11:55 am,Sophie Vaillancourt,TBA
SCSD,684,Field Course (GDEU),Practicum and Seminar 4.,F,09:05 am-10:55 am,"Lauren Tittley , Stephanie Houston , Sophie Vaillancourt",TBA
SCSD,684,Field Course (GDEU),Practicum and Seminar 4.,R,09:05 am-10:55 am,"Lauren Tittley , Stephanie Houston , Sophie Vaillancourt",TBA
SCSD,689,Lecture-demonstration,Management Cranio-Facial Disorders.,F,02:15 pm-04:10 pm,Lisa Audrey Massaro,TBA
SCSD,689,Lecture-demonstration,Management Cranio-Facial Disorders.,R,02:15 pm-04:10 pm,Lisa Audrey Massaro,TBA
SEAD,515,Lecture,Climate Change Adaptation and Engineering Infrastructure .,M,06:05 pm-08:55 pm,Laxmi Sushama,ENGTR 1090
SEAD,515,Lecture,Climate Change Adaptation and Engineering Infrastructure .,W,06:05 pm-08:55 pm,Laxmi Sushama,ENGTR 1090
SEAD,520,Lecture,Life Cycle-Based Environmental Footprinting .,W,06:05 pm-08:55 pm,Sarah Jordaan,ENGTR 0060
SEAD,520,Lecture,Life Cycle-Based Environmental Footprinting .,W,06:05 pm-08:55 pm,Sarah Jordaan,ENGMC 10
SOCI,210,Lecture,Sociological Perspectives.,TR,02:35 pm-03:55 pm,Peter McMahan,ENGMC 204
SOCI,211,Lecture,Sociological Inquiry.,MW,02:35 pm-03:55 pm,Michael R Smith,LEA 26
SOCI,225,Lecture,Medicine and Health in Modern Society.,TR,04:05 pm-05:25 pm,Alexis Dr Dennis,ARTS W-120
SOCI,230,Lecture,Sociology of Ethnic Relations.,TRF,02:35 pm-03:25 pm,Zoua Vang,RPHYS 112
SOCI,245,Lecture,The Sociology of Emotions.,MW,01:05 pm-02:25 pm,Matthew Keith Lange,RPHYS 112
SOCI,247,Lecture,Family and Modern Society.,W,02:35 pm-05:25 pm,Ka U Ng,DUFF THTR 1
SOCI,250,Lecture,Social Problems.,TR,01:05 pm-02:25 pm,Jason Thomas Carmichael,RPHYS 112
SOCI,254,Lecture,Development and Underdevelopment.,TR,11:35 am-12:55 pm,Mehri Ghazanjani,LEA 219
SOCI,254,Conference,Development and Underdevelopment.,M,08:35 am-09:25 am,Mehri Ghazanjani,EDUC 431
SOCI,254,Conference,Development and Underdevelopment.,W,08:35 am-09:25 am,Mehri Ghazanjani,EDUC 431
SOCI,254,Conference,Development and Underdevelopment.,T,08:35 am-09:25 am,Mehri Ghazanjani,EDUC 431
SOCI,254,Conference,Development and Underdevelopment.,W,03:35 pm-04:25 pm,Mehri Ghazanjani,EDUC 431
SOCI,254,Conference,Development and Underdevelopment.,W,03:35 pm-04:25 pm,Mehri Ghazanjani,EDUC 431
SOCI,254,Conference,Development and Underdevelopment.,R,04:35 pm-05:25 pm,Mehri Ghazanjani,EDUC 431
SOCI,254,Conference,Development and Underdevelopment.,F,08:35 am-09:25 am,Mehri Ghazanjani,EDUC 539
SOCI,254,Conference,Development and Underdevelopment.,R,08:35 am-09:25 am,Mehri Ghazanjani,EDUC 539
SOCI,254,Conference,Development and Underdevelopment.,M,03:35 pm-04:25 pm,Mehri Ghazanjani,EDUC 539
